ZIPCODE,violation_count
10003.0,777
10002.0,470
10016.0,436
10013.0,422
11220.0,413
10011.0,410
10014.0,400
10036.0,376
10019.0,355
11215.0,350
10022.0,339
10012.0,330
10009.0,308
11385.0,308
11354.0,295
11368.0,291
11372.0,284
10017.0,283
10001.0,273
11209.0,265
11103.0,261
11217.0,242
11355.0,237
10028.0,235
11373.0,230
11211.0,229
11226.0,222
10024.0,219
10458.0,219
11201.0,218
11432.0,217
11101.0,206
11237.0,203
11214.0,201
11238.0,199
11204.0,194
10018.0,193
11222.0,191
11377.0,190
10467.0,189
10010.0,188
11218.0,183
10065.0,180
11223.0,180
10025.0,176
10029.0,173
11216.0,172
11203.0,172
10128.0,160
11213.0,159
11235.0,158
11207.0,155
11208.0,151
11231.0,150
11105.0,149
10027.0,144
10021.0,143
10023.0,141
11234.0,141
11106.0,141
10466.0,138
11205.0,137
11212.0,137
11375.0,135
11419.0,133
10461.0,131
11232.0,128
11219.0,128
11435.0,126
11221.0,125
10452.0,124
10453.0,124
11229.0,123
10032.0,123
11236.0,123
11418.0,122
10468.0,119
10451.0,116
10463.0,116
11230.0,114
11249.0,113
10314.0,113
11225.0,111
11104.0,110
10031.0,109
10038.0,106
10462.0,105
11421.0,104
10301.0,102
10472.0,101
10469.0,101
11358.0,101
11417.0,99
10454.0,98
11210.0,95
10455.0,94
11420.0,91
10033.0,90
11233.0,89
11206.0,87
10457.0,86
10302.0,85
11434.0,84
10305.0,84
10075.0,78
10034.0,76
10004.0,73
10310.0,71
11102.0,68
10040.0,68
10026.0,67
11378.0,65
10459.0,65
10456.0,64
10465.0,61
11428.0,60
10306.0,60
11361.0,59
10035.0,58
11374.0,56
11412.0,56
11413.0,55
11228.0,54
10460.0,52
11691.0,49
10470.0,49
10304.0,48
11416.0,44
11369.0,44
11379.0,44
11364.0,44
10471.0,43
11224.0,42
10007.0,39
10312.0,37
11414.0,35
10464.0,34
11357.0,32
11365.0,32
11433.0,32
11366.0,31
10121.0,31
11427.0,30
11422.0,30
11362.0,28
11411.0,27
11426.0,27
10475.0,27
11367.0,27
11693.0,27
11415.0,25
11423.0,25
11694.0,25
11429.0,24
11356.0,23
10006.0,21
10474.0,19
10030.0,18
11370.0,17
11436.0,17
10039.0,17
10037.0,16
10308.0,16
11040.0,14
11430.0,14
10005.0,13
10473.0,12
10303.0,12
11004.0,12
10280.0,11
10169.0,11
10309.0,11
10111.0,8
11239.0,7
10119.0,7
10020.0,7
11005.0,6
11001.0,6
10281.0,6
11363.0,5
11360.0,5
11692.0,4
10282.0,3
10112.0,3
10069.0,2
10105.0,2
10279.0,2
10307.0,2
11109.0,2
10106.0,1
10044.0,1
10118.0,1
